timestamp,open,high,low,close,volume
2025-10-02 00:00:00,118477.94,120000.0,118298.1,118831.27,55.5978
2025-10-02 04:00:00,118833.34,120000.0,118315.15,118469.64,45.18459
2025-10-02 08:00:00,118469.79,118881.99,118383.08,118815.97,0.15692
2025-10-02 12:00:00,118815.98,119769.23,118481.52,119769.22,2.71506
2025-10-02 16:00:00,119769.22,121000.0,119396.28,120868.83,8.11551
2025-10-02 20:00:00,120543.06,120866.99,120120.0,120559.88,1.51051
2025-10-03 00:00:00,120559.85,120559.87,119816.36,120381.49,3.98631
2025-10-03 04:00:00,120130.76,120358.98,119681.55,119681.55,1.16188
2025-10-03 08:00:00,119953.15,120381.49,119320.59,120380.59,0.60371
2025-10-03 12:00:00,120151.19,122021.43,120142.23,122021.43,4.75984
2025-10-03 16:00:00,122021.43,123703.93,121550.01,122794.89,11.85476
2025-10-03 20:00:00,122511.29,122752.32,121973.27,122288.94,3.35616
2025-10-04 00:00:00,122288.42,122421.12,121640.52,122281.04,0.82225
2025-10-04 04:00:00,122279.59,122655.94,122046.09,122244.87,0.99556
2025-10-04 08:00:00,122490.43,122490.43,121973.28,121978.72,0.11717
2025-10-04 12:00:00,122217.37,122469.07,121509.06,122007.1,0.96379
2025-10-04 16:00:00,122004.71,122004.71,121510.86,121975.59,0.30401
2025-10-04 20:00:00,121963.59,122375.88,121763.73,122375.0,0.46636
2025-10-05 00:00:00,122380.23,124303.33,122008.95,123802.27,4.47636
2025-10-05 04:00:00,123996.17,125493.63,123778.1,124905.99,7.89306
2025-10-05 08:00:00,124903.46,124903.46,122605.26,123452.8,1.03718
2025-10-05 12:00:00,123451.8,123451.8,122703.25,123005.38,1.17869
2025-10-05 16:00:00,122995.77,123467.1,122420.48,122665.06,2.38843
2025-10-05 20:00:00,122534.19,123538.18,122509.49,123294.13,2.04587
2025-10-06 00:00:00,123530.38,124245.28,123126.55,123725.69,1.19769
2025-10-06 04:00:00,123963.63,124073.9,123268.72,123268.72,0.53031
2025-10-06 08:00:00,123724.8,124380.01,123545.84,124294.54,0.33482
2025-10-06 12:00:00,124292.86,125263.59,124000.06,125201.61,3.38258
2025-10-06 16:00:00,125197.45,125999.0,124701.35,125413.98,5.92646
2025-10-06 20:00:00,125499.37,125499.37,124615.04,124797.86,3.70803
2025-10-07 00:00:00,124620.35,125079.21,124184.43,124474.1,1.0476
2025-10-07 04:00:00,124470.6,124747.86,123634.64,123982.51,3.64674
2025-10-07 08:00:00,123970.91,124609.94,123423.35,124077.38,0.65688
2025-10-07 12:00:00,124581.43,124991.29,121272.71,121879.22,4.49606
2025-10-07 16:00:00,121895.39,122057.45,120663.78,121965.6,4.25286
2025-10-07 20:00:00,121973.21,122350.62,121329.48,121329.51,0.962
2025-10-08 00:00:00,121329.48,122283.2,121274.19,121733.12,10.73777
2025-10-08 04:00:00,121730.86,121941.79,121132.18,121500.0,0.78502
2025-10-08 08:00:00,121913.03,123225.49,121912.79,123217.67,0.48978
2025-10-08 12:00:00,122768.07,123256.49,121760.0,122057.45,0.51046
2025-10-08 16:00:00,122422.68,124126.6,122422.3,123165.91,1.00328
2025-10-08 20:00:00,123741.98,123741.99,122796.32,123455.27,1.38032
2025-10-09 00:00:00,123455.15,123455.15,121502.41,122145.4,1.05944
2025-10-09 04:00:00,121724.86,122279.15,121724.86,122095.74,0.76207
